20,20
2,0
3,0
4,0
11,0
5,1
6,1
10,1
18,1
19,1
2,2
3,2
6,2
11,2
13,2
18,2
19,2
2,3
3,3
4,3
7,3
12,3
13,3
5,4
6,4
15,5
16,5
14,6
15,6
5,7
16,7
0,8
1,8
5,8
10,8
16,8
0,9
1,9
5,9
9,9
11,9
16,9
17,9
18,9
0,10
16,10
17,10
1,11
6,11
1,12
2,12
3,12
6,12
9,12
11,12
12,12
1,13
4,13
8,13
9,13
0,14
1,14
4,14
9,14
18,14
0,15
4,15
5,15
9,15
10,15
18,15
19,15
0,16
2,16
4,16
5,16
10,16
12,16
13,16
16,16
17,16
19,16
0,17
2,17
3,17
4,17
5,17
9,17
10,17
12,17
13,17
15,17
16,17
18,17
19,17
0,18
2,18
9,18
14,18
16,18
18,18
19,18
0,19
1,19
9,19
11,19
17,19
